"ranks","gene","z"
0.152326629171147,"AC104472.5",0.153521473825772
0.152322750241138,"KANSL1-AS1",0.153517502755776
0.152314819291227,"AL355916.1",0.153509383429271
0.152303834487997,"RICTOR",0.153498137747235
0.152301038946572,"LGI2",0.153495275820464
0.152296459520608,"JUND",0.15349058765288
0.152279966256896,"AL020997.4",0.153473702800746
0.152270103370184,"TRAFD1",0.153463605787663
0.152249302875483,"MSH5",0.153442311630142
0.152234056961465,"INPP5B",0.153426703969105
0.152233134639316,"AP000926.2",0.15342575976496
0.152209033637742,"DNAJB11",0.153401087065899
0.152203229278983,"MTF1",0.153395145050206
0.152195596871625,"FPGT",0.153387331648033
0.15218318607589,"FHL3",0.153374626582515
0.152182195836735,"BMP7",0.153373612866122
0.152161838048384,"DDR2",0.153352772491325
0.152160021941152,"ANKRD36B",0.153350913339241
0.152150019495528,"CYP1B1",0.15334067383737
0.152142147667676,"CCDC168",0.153332615470981
0.152141895719337,"CRPPA",0.153332357552555
0.152104344493501,"RAB9A",0.153293916751071
0.152103512265653,"ANKRD36",0.153293064813124
0.152102080500828,"SNHG11",0.153291599139558
0.152088330196967,"ATP8B2",0.153277523218089
0.152065832443128,"ANKRD29",0.153254492830369
0.152034899730402,"ANGEL2",0.153222828049637
0.152007867235044,"TYW5",0.153195156040277
0.152007444980592,"ARL4A",0.153194723798299
0.151944677324161,"LBHD1",0.15313047213906
0.151938533525682,"ZKSCAN5",0.153124183151431
0.151933554767678,"OTX1",0.153119086745122
0.151927618800476,"CNTNAP3",0.153113010521027
0.151926001581603,"KLHL14",0.153111355091944
0.151920662115755,"ZNF709",0.153105889475858
0.151917295608701,"GALNT6",0.153102443436363
0.151905586648962,"L3HYPDH",0.153090457885024
0.151896703474596,"ZNF385A",0.153081364899493
0.15188447093665,"PIH1D2",0.153068843483074
0.151878372711913,"ZRANB2-AS2",0.153062601263015
0.151861999893602,"ERF",0.153045841897419
0.151851209155434,"HYLS1",0.153034796446419
0.151837271979069,"MROH1",0.153020530341124
0.151823162541206,"DCLRE1A",0.153006087971771
0.151816952594963,"KMT5B",0.152999731513423
0.151814681114397,"LINC00205",0.152997406444571
0.151780984870326,"AC026470.2",0.152962915438661
0.151774960666229,"LNPK",0.152956749185343
0.15177418516696,"CLTRN",0.152955955400834
0.151766191448202,"CACNA1B",0.152947773211983
0.151757573897527,"RPL39L",0.15293895250572
0.151746508967371,"GALK2",0.152927626758534
0.15171813225538,"EIF5AL1",0.152898581342729
0.15171809086048,"LNPEP",0.152898538972535
0.151715196706322,"CDC25B",0.152895576631387
0.151708118856338,"LONRF2",0.152888332036718
