"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"4930","GOCC_SARCOPLASM","0.817330210772834","0.914292945270484","0.0623861492893626","-0.347066438788827","-0.842758706121195","89","c(""FKBP1A"", ""ELAVL1"", ""HAX1"", ""CALR"", ""ATP2A2"", ""BAG5"", ""CAMK2G"", ""SERTAD1"", ""STIM1"", ""HABP4"", ""JSRP1"", ""HSP90B1"", ""BCL9"", ""ANK1"", ""ASPH"", ""CHERP"", ""ITPR2"", ""SGCD"", ""NOS1AP"", ""JPH1"")"
"4931","GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT","0.818815331010453","0.914628846725933","0.048505983646947","0.351845380758933","0.825819615844547","86","c(""NFKBIA"", ""IL1B"", ""ANXA2"", ""SPP1"", ""PLTP"", ""APOE"", ""NR1H2"", ""TMEM30A"", ""SCP2"", ""DENND5B"", ""ABCA1"", ""ABCA5"", ""ZDHHC8"", ""CES1"", ""ACSL1"", ""PTGES"", ""PPARG"", ""IL1A"", ""ABCA3"", ""P2RX4"", ""EEPD1"", ""CYP19A1"", ""BMP6"", ""C1QTNF1"", ""LRP1"", ""PLA2G6"", ""P2RX7"", ""PLA2R1"", ""LDLRAP1"")"
"4932","GOBP_SPERMATID_DIFFERENTIATION","0.819095477386935","0.914756263067161","0.065681360193401","-0.33285685541385","-0.888853429654294","198","c(""SLIRP"", ""BAX"", ""HMGB2"", ""CCNB1IP1"", ""RAN"", ""ING2"", ""TPGS1"", ""PAFAH1B1"", ""TRIP13"", ""SMARCA2"", ""MKKS"", ""JAM3"", ""PTCH1"", ""KIT"", ""SLC26A3"", ""UBE2B"", ""KAT5"", ""BBS4"", ""EPC1"", ""DNAH1"", ""PLD6"", ""CATSPERZ"", ""OSBP2"")"
"4933","GOBP_REGULATION_OF_GLUCONEOGENESIS","0.819757365684575","0.915309866245822","0.0482149710025564","0.374752102585069","0.809305686856384","49","c(""PPP4R3B"", ""ARPP19"", ""PTPN2"", ""NNMT"", ""PPARA"", ""RANBP2"", ""SIRT6"", ""OGT"", ""SIRT7"", ""SESN2"", ""CRY1"", ""DDB1"", ""LEPR"", ""NR3C1"")"
"4934","GOBP_COPPER_ION_HOMEOSTASIS","0.820652173913043","0.915381161181256","0.0501934252649434","0.438049322704176","0.769500873704055","17","c(""APP"", ""MT2A"", ""PRNP"", ""ABCB6"", ""SCO2"", ""CUTC"", ""COMMD1"")"
"4935","GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT","0.820422535211268","0.915381161181256","0.0488970772260102","0.377144986390969","0.808352134153058","47","c(""GSTO1"", ""FBXO11"", ""TMBIM6"", ""PPP3CA"", ""UBR3"", ""CALM2"", ""SESTD1"", ""CALM1"", ""PPP3CC"", ""THADA"", ""ADRA2A"", ""CBARP"", ""CASQ2"")"
"4936","GOBP_PEPTIDYL_LYSINE_TRIMETHYLATION","0.820568927789934","0.915381161181256","0.0589694466690997","-0.376552437749053","-0.801429882783955","37","c(""NFYC"", ""SUV39H2"", ""IWS1"", ""KMT5B"", ""KMT2A"", ""EEF2KMT"", ""NFYB"", ""SIRT1"", ""MECP2"", ""KMT2D"", ""FAM86B1"", ""ARID4B"", ""ETFBKMT"")"
"4937","GOBP_SEQUESTERING_OF_TRIGLYCERIDE","0.820224719101124","0.915381161181256","0.0602484086158019","-0.412468433529966","-0.759267802933736","18","c(""PLIN2"", ""OSBPL11"", ""PLIN3"", ""PNPLA2"")"
"4938","GOBP_STEROID_METABOLIC_PROCESS","0.820051413881748","0.915381161181256","0.0667426134241917","-0.329488798255127","-0.923046793308793","315","c(""DHCR24"", ""SQLE"", ""SF1"", ""CYP51A1"", ""NPC2"", ""EBP"", ""SRD5A3"", ""SOAT1"", ""YWHAH"", ""LBR"", ""IDI1"", ""CYB5R3"", ""ARV1"", ""OSBP"", ""DHCR7"", ""HDLBP"", ""IGFBP7"", ""ACAA1"", ""STUB1"", ""HSD17B7"", ""OSBPL3"", ""SOD1"", ""TIPARP"", ""SC5D"", ""SREBF2"", ""MVK"", ""ABCD3"", ""G6PD"", ""MBTPS1"", ""CAT"", ""PPARD"", ""HINT2"", ""SNX17"", ""CUBN"", ""ACLY"", ""EBPL"", ""HSD17B10"", ""KIT"", ""OSBPL5"", ""CBR1"", ""SLC27A5"", ""PDGFRA"", ""ATP1A1"", ""SIRT1"", ""APOA1"", ""MECP2"", ""PIAS4"", ""FDX1"", ""MVD"", ""CYB5R1"", ""STS"", ""HSD17B2"", ""AMACR"", ""TSKU"", ""LGMN"", ""DGAT2"", ""CYB5R2"", 
""HSD17B6"")"
"4939","GOBP_NEGATIVE_REGULATION_OF_T_CELL_DIFFERENTIATION","0.820869565217391","0.915438259813199","0.0483117581055019","0.37404152786138","0.806918925529836","48","c(""RUNX3"", ""PTPN2"", ""TMEM131L"", ""IL4R"", ""SOCS5"", ""SLC4A2"", ""SMAD7"", ""NRARP"", ""CBFB"", ""MDK"")"
"4940","GOBP_ERYTHROCYTE_DEVELOPMENT","0.821428571428571","0.915690866510539","0.0598603117764473","-0.370349803945328","-0.796228617993754","39","c(""PTBP3"", ""LYAR"", ""ERCC2"", ""G6PD"", ""TRIM58"", ""ZBTB7A"", ""JMJD6"", ""ALAS1"", ""DMTN"", ""BAP1"")"
"4941","GOBP_POSITIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY","0.821428571428571","0.915690866510539","0.0598603117764473","-0.408015498640723","-0.78399025773713","22","c(""CALM3"", ""HSP90AB1"", ""PPP1R15B"", ""PPP1R12A"")"
"4942","GOBP_PYRIMIDINE_RIBONUCLEOTIDE_METABOLIC_PROCESS","0.821826280623608","0.915793009428626","0.0597317976364411","-0.390092955852852","-0.791937782062451","30","c(""NME2"", ""CMPK1"", ""UCK2"", ""NME6"", ""CAD"")"
