"BE2_ranks","gene"
0.0931176474895346,"FGF13"
0.0931158818417623,"CNNM3"
0.0931140632807934,"DLX2-DT"
0.0931006258270103,"SYNE1"
0.0929612521243093,"APOBEC3C"
0.0929109911552997,"ASB6"
0.0928046987487667,"LINC01632"
0.0927854229182207,"AC105052.4"
0.0927706203928171,"CADM2"
0.0927386829250385,"MMP23B"
0.092729176490965,"FAM13A-AS1"
0.0927124382091485,"AL589740.1"
0.0927109647598791,"DDX51"
0.0926068319646194,"RCCD1"
0.0925600036386891,"KCNJ15"
0.0925580387718725,"PAFAH2"
0.0925493964569878,"DECR2"
0.0925284428406372,"AC112484.3"
0.0924889996296863,"PNKP"
0.0924799807194871,"LINC02112"
0.092453824264134,"FAXDC2"
0.0923700830392035,"FAM81B"
0.0922640392090682,"AF274853.1"
0.0922009090289837,"ARFIP1"
0.0921799431753076,"XKR4"
0.0920993063379406,"AC005726.1"
0.09208497263604,"TMSB15B-AS1"
0.0920791572678725,"CENPK"
0.0919471608742755,"C2CD2"
0.0918774334950103,"SNORC"
0.0917882669868657,"NSA2"
0.0917451972863599,"LMAN2L"
0.091739426316811,"RANBP17"
0.0917250992047577,"RPL34-AS1"
0.0916545548100246,"EMC3"
0.0915807966668364,"SH3GL1"
0.0914408122718707,"PLEKHA8"
0.0914097398259231,"CUL4B"
0.0913810308545828,"AC105339.6"
0.0913388667961123,"AL138733.1"
0.091337110695706,"CDH10"
0.0913298068386093,"MDH2"
0.0913176285651251,"PDE7A"
0.0912733228888782,"GNAI2"
0.0912498980561765,"ADAMTS14"
0.0912258100100575,"PIAS2"
0.0911918225147155,"ZNF12"
0.0910948765524823,"LLGL1"
0.0910496986163861,"AL117329.1"
0.0910128240257896,"AL357079.1"
0.0907849990037388,"KCNQ5-IT1"
0.0907069577710873,"IRX2"
0.0907054118714898,"PRSS36"
0.090696113090533,"PPP1R12A"
0.0906883075934368,"AC138035.1"
0.0906397775324031,"AL596442.3"
0.0906066519856699,"AL132655.2"
0.0905426217546954,"MSL1"
0.0905408348857437,"OLFM2"
0.0905357571826204,"PPP2R5C"
0.0905096189795817,"TOB1"
0.0904712572544372,"ERC1"
0.0902538129524229,"ATP6AP1L"
0.0902341893030746,"ATP5MC2"
0.0902185872203889,"FITM2"
0.0901875317478995,"ADAT2"
0.0901295678437059,"AC073114.1"
0.0901292721759055,"CHST11"
0.0900672702114097,"SLC1A4"
0.0900181156540838,"ZNF131"
0.0900054353535646,"CIAO3"
0.0899900956455271,"AC026470.2"
0.0899296615939617,"LPP-AS1"
0.089896522055234,"AC104170.1"
0.0898683748510899,"TMEM43"
0.089866926018871,"EYA3"
0.0898592197942483,"ALDH18A1"
0.0898500863848666,"NMRK1"
0.0898284071716067,"BRD2"
0.0897905605706641,"ZDHHC11"
0.0897811182550914,"PUS10"
0.0896949925965342,"SH3BGR"
0.0896824626896702,"EVC"
0.0896266349962573,"CD200"
0.089622140928134,"AC074051.5"
0.0894717806916105,"HUWE1"
0.0894664207300266,"AC018742.1"
0.0894535791333765,"PEX11A"
0.0894272866337403,"ESF1"
0.0893523107340485,"UBXN2A"
0.0893133160493937,"SCAANT1"
0.0892992976798839,"AC010503.1"
0.0892633474714624,"MCM3AP"
0.0890250772377797,"DKK3"
0.0890243192055678,"UPF3B"
0.0889876020247734,"LINC01588"
0.0889761822761271,"KCNH3"
0.0889742748325246,"GNA13"
0.088947268362801,"ZNF136"
0.0888651075754716,"ZNF865"
0.0888114883605312,"EPM2A"
0.0887890614424314,"ZDHHC17"
0.0887257429099451,"C18orf21"
0.0887192636563388,"MYLK-AS1"
0.0887191775825868,"APOBEC3H"
0.0886987973753995,"NMU"
0.0886717265014663,"RIPOR2"
0.0886678647484278,"SKAP1-AS1"
0.0886536950781869,"DUBR"
0.0886306386441333,"AGAP9"
0.0885767254425082,"AL512343.2"
0.0885236462609034,"TTC27"
0.0884923573551332,"FZD4"
0.0884694881359204,"TSHZ1"
0.0884614247100731,"SYNCRIP"
0.0884135240642771,"EFCAB11"
0.0884033167311713,"PIM3"
0.0883800475779001,"EIF4A3"
0.0883535736392042,"CFTR"
0.088351531092255,"PIK3C2A"
0.0883300729582929,"EXOSC9"
0.0883009679473007,"PHLDB2"
0.0882744080516173,"FAM216A"
0.0882609941206425,"TMEM265"
0.0882286422626048,"PRMT1"
0.0881721657488736,"MLX"
0.0881247918293398,"ESYT3"
0.088103056990847,"AC015909.2"
0.088062248007036,"TTYH2"
0.0880559977788727,"RWDD1"
0.088055776281985,"PDHB"
0.08805046399623,"LRRC37A3"
0.0880083939717537,"RLF"
0.0879937677805079,"ZNF324"
0.087978250493492,"ALG10B"
0.0879458073131061,"TMEM225B"
0.0879403809434041,"TMCC3"
0.0878661017146941,"LINC01271"
0.0878429679442218,"CPS1"
0.0878302994366886,"ARHGEF17"
0.0878199097920429,"AC023469.1"
0.0877862817504468,"AMT"
0.0877848563939424,"PDE2A"
0.0877534163446155,"NIPA2"
0.0877382045844743,"AL034417.4"
0.0877380193103605,"KAT8"
0.0876731704998881,"ZNF417"
0.0875524929931724,"AL138760.1"
0.0875262362412531,"AL391684.1"
0.0874130028758698,"ATRNL1"
0.0873944970172141,"LINC00944"
0.0873826981440439,"FADS3"
0.0873641066974105,"GPRIN3"
0.0872743512885307,"TRIM25"
0.0872728056421602,"KIAA0753"
0.0872646375656128,"OR2A1-AS1"
0.0872479717281623,"AP3D1"
0.087220804786196,"TMEM246"
0.0872192735292534,"FAM160B1"
0.0872163285205181,"AC111170.1"
0.0872031776624352,"KANSL1"
0.0871905005339179,"NMT2"
0.087045989813505,"SLC44A1"
0.0870412362362385,"EHMT2-AS1"
0.0869641465544518,"GSPT2"
0.086958730163433,"AC022540.1"
0.0869405279665291,"TOP1MT"
0.0868614237725611,"HMGN3-AS1"
0.0868481585554668,"GPR55"
0.086833131926258,"CHN1"
0.0868238097708402,"LINC01720"
0.0868024801542262,"PUS7L"
0.0867999366103765,"NCEH1"
0.0867243271207132,"HOXD1"
0.0867000130243068,"TM4SF1-AS1"
0.0866876945608617,"BX255925.3"
0.086624289579603,"GABPB1-AS1"
0.0866132680768982,"INIP"
0.0866092987500866,"AC007390.2"
0.0866063116633272,"NOP56"
0.086603235851782,"TDRD9"
0.0866011558021759,"TLE6"
0.0865897998421391,"EMP2"
0.0865606971803502,"MAP3K4"
0.0864548606422528,"ADAMTSL4"
0.0864496162023056,"ZNF295-AS1"
0.0863537937539382,"AC010978.1"
0.0863283655373917,"SPAG1"
0.0863169083303047,"COG3"
0.086294646168576,"NEIL1"
0.0862607939515961,"PGAM4"
0.0862431473217953,"RHOQ"
0.0862194586129681,"AC008938.1"
0.0862042923802812,"CTSC"
0.0861080323275442,"GPI"
0.0860595374610984,"HNRNPK"
0.0860499876624289,"AP4S1"
0.0859547814586278,"AC026689.1"
0.0858763447713478,"NAGS"
0.0858456141942236,"AC104827.1"
0.0858454879993844,"C7orf31"
0.0858328860733445,"FBXW8"
0.0858163614552664,"AL157871.4"
0.0857727372047411,"TMLHE-AS1"
0.0857521284046579,"XAB2"
0.085745883914376,"BTNL8"
0.0857430829043497,"CTRL"
0.0857401824883584,"ERFL"
0.0856163532034001,"SCN4B"
0.085600131016239,"NNT"
0.085597451971531,"PATJ"
0.0855944714285135,"SIL1"
0.0855891060385021,"GLP2R"
0.0855642554623718,"HDAC6"
0.0855249374397346,"AC092747.4"
0.085522815621435,"AP001207.3"
0.085436462898406,"NLRP9"
0.085420923676491,"KANSL2"
0.0854016603185597,"UNC5CL"
0.0854002347081686,"LITAF"
0.0853708186697939,"EYS"
0.0853413285307435,"CCDC191"
0.0853035980130537,"CRY2"
0.0852346614836345,"SNHG12"
0.085229482061526,"ANKRD53"
0.085229482061526,"ZNF556"
0.0851551893625591,"SNED1"
0.0851312961014291,"TRIM71"
0.0851290242908041,"RBSN"
0.085125543497884,"PPME1"
0.0850863001919577,"DNASE1L2"
0.0850628848998475,"CD2AP"
0.0850340199299403,"ABCA1"
0.0850122715413683,"SDC2"
0.0849547493362628,"ZP3"
0.0849283258086475,"AL109615.3"
0.0849240249869022,"TNPO2"
0.0849114957897128,"AC103876.1"
0.0848785544814392,"ZFHX2-AS1"
0.0848728530554215,"GALC"
0.0848258162907758,"GDF10"
0.0848147400563604,"DCDC2C"
0.0847328700259781,"GJC1"
0.0847227904331503,"PFDN6"
0.0847198749530269,"KCNIP3"
0.0846368725544177,"NRSN2-AS1"
0.0846089281095328,"TLCD5"
0.0846025020515585,"FCSK"
0.0845798589380132,"PEX2"
0.08454089655517,"ARL6IP6"
0.0845320162602479,"AC024588.1"
0.0845156698264984,"MYCBP"
0.084444142514295,"CUL2"
0.0844144983976606,"REEP5"
0.0843999980511948,"AC020655.1"
