"BE1_ranks","gene","genetype","ranks"
0.0655823883465473,"AC016831.7","Nuclear",28995
0.0655319152610502,"PHKB","Nuclear",28994
0.0655237726242817,"METTL15","Nuclear",28993
0.0654619816638804,"STRADA","Nuclear",28992
0.0653355464184459,"CD59","Nuclear",28991
0.0652935771865935,"DYM","Nuclear",28990
0.0652611833487959,"CACNA1C","Nuclear",28989
0.064973254638532,"EPC2","Nuclear",28988
0.064947753593957,"SLC20A1","Nuclear",28987
0.0649191325264665,"NCKAP1","Nuclear",28986
0.0648031977221449,"ZNF407","Nuclear",28985
0.0647513924967311,"GATAD2B","Nuclear",28984
0.0647263290012052,"BRWD3","Nuclear",28983
0.0647133651443623,"WDFY2","Nuclear",28982
0.0646501177451828,"WIPF1","Nuclear",28981
0.0645649821069719,"LINC00513","Nuclear",28980
0.0645146113593783,"GTF2I","Nuclear",28979
0.0644965152135096,"ANKRD11","Nuclear",28978
0.0643174672276173,"GPR176","Nuclear",28977
0.0642665548626379,"SBSN","Nuclear",28976
0.0642644799338942,"WDHD1","Nuclear",28975
0.0642510452208363,"ACAP2","Nuclear",28974
0.0642462504106046,"COL23A1","Nuclear",28973
0.0642414330099271,"NUP205","Nuclear",28972
0.0642068991844716,"DNAJC13","Nuclear",28971
0.0641289351480583,"GSE1","Nuclear",28970
0.0641030204278398,"ERC1","Nuclear",28969
0.0640149148446759,"MRTFA","Nuclear",28968
0.0638545527371558,"CEP170","Nuclear",28967
0.0638530655988357,"MORF4L2","Nuclear",28966
0.0638284759080893,"NBPF15","Nuclear",28965
0.0638122026583348,"RANBP17","Nuclear",28964
0.0638061492139868,"FMNL2","Nuclear",28963
0.0637301298426235,"TENM3","Nuclear",28962
0.0637191137891712,"SMARCA1","Nuclear",28961
0.0635659710028742,"KIAA1549L","Nuclear",28960
0.0634304035306649,"N4BP2L2","Nuclear",28959
0.0634088317564531,"IQCB1","Nuclear",28958
0.0633817603233608,"GLS","Nuclear",28957
0.063339802391558,"QKI","Nuclear",28956
0.0633141761537127,"GREB1L","Nuclear",28955
0.0633099422184074,"PLEKHA5","Nuclear",28954
0.0632679255368043,"SPRED1","Nuclear",28953
0.0631844074213972,"WDR59","Nuclear",28952
0.0631235897067196,"CHD7","Nuclear",28951
0.063119666829382,"SRBD1","Nuclear",28950
0.0630745051306699,"BBX","Nuclear",28949
0.0630501470600381,"KCNQ5","Nuclear",28948
0.0630466469217064,"PFKFB3","Nuclear",28947
0.0629892671352409,"SPRED2","Nuclear",28946
0.062881519293335,"MAML3","Nuclear",28945
0.0628402205409315,"LPP","Nuclear",28944
0.0627014025635034,"CEP85L","Nuclear",28943
0.0626934857272071,"RALA","Nuclear",28942
0.0626745211498093,"PAPPA2","Nuclear",28941
0.0626286170644816,"MLPH","Nuclear",28940
0.0625933265235854,"DIP2C","Nuclear",28939
0.0624926950825475,"CECR2","Nuclear",28938
0.0623958370586268,"ASCC3","Nuclear",28937
0.0623164080509257,"C15orf41","Nuclear",28936
0.0623097199742369,"ZBTB20","Nuclear",28935
0.0622984549681103,"PRRC2C","Nuclear",28934
0.0622378881434807,"HDAC4","Nuclear",28933
0.0622378418095395,"ESM1","Nuclear",28932
0.062177761638354,"IGF2R","Nuclear",28931
0.0621200167365283,"ZFR","Nuclear",28930
0.0619973056148415,"ARHGAP32","Nuclear",28929
0.0619552279804446,"ZFP64","Nuclear",28928
0.0619196318719229,"FAM189A1","Nuclear",28927
0.0618428428691634,"MT-ND2","Mitochondrial",28926
0.0618083782157388,"LIN28B","Nuclear",28925
0.061786211339584,"ANPEP","Nuclear",28924
0.0617814162766303,"ST3GAL6","Nuclear",28923
0.061755447027064,"PIAS1","Nuclear",28922
