"gene","BE1_ranks","BE2_ranks"
"AC004825.3",0.0245555448221152,0.00317350247131155
"AC004828.1",-0.0124417372071608,0.0239882838425518
"AC004828.2",0.00910731379402425,0.00365710554018817
"AC004830.2",0.00615447676860466,0.00102082400308823
"AC004832.1",-0.003848909444873,-0.00667418868273355
"AC004832.4",0.0041438179813882,0.0158332516243901
"AC004832.5",-0.0147935917955276,0.0315068754009196
"AC004832.6",-0.00047153851247052,0.00926520098393634
"AC004834.1",0.00757058703358516,0.00168402277892189
"AC004835.1",0.0110452822830139,0.0316594499817351
"AC004837.2",0.00542462756769665,0.0289200416540432
"AC004837.4",0.0146223648685524,0.0229908923503257
"AC004839.2",-0.00953390769843679,-0.00924086939409581
"AC004846.1",0.00157174386378608,-0.015234987922384
"AC004846.2",0.00669245948260122,0.021465494797826
"AC004854.2",-0.0132143166963486,-0.00202997947237452
"AC004862.1",-4.77241409809367e-05,-0.0145985423655762
"AC004865.2",0.0174175317564416,-0.00773979593287546
"AC004870.2",0.0175119323589509,0.00764891451154409
"AC004870.4",0.00349582233771942,-0.00305414089545508
"AC004877.1",-0.0104320428263501,0.00396207198767976
"AC004879.1",-0.0081280878997368,0.0350252503429835
"AC004882.1",0.0094677411274854,0.0017060324999045
"AC004882.3",-0.00760226748311181,-0.0107270311462271
"AC004884.2",0.000495745601345782,-0.00796423334065362
"AC004889.1",0.012182377557697,0.0300660241923103
"AC004893.3",-0.000592546009556191,-0.0249603663658196
"AC004895.1",-0.00860945522643792,0.0018017023025872
"AC004900.1",0.0457185296018319,-0.00303180607491094
"AC004908.2",-0.00818737429224435,0.0102524608142958
"AC004908.3",-0.0103193555146839,-0.0211187738332516
"AC004917.1",0.00340393555231078,0.00117963543530039
"AC004918.1",0.0070804349615911,0.0152219087284554
"AC004918.4",0.0188877340241165,0.0172878471459411
"AC004921.1",0.000211734414375546,-0.00487335124174146
"AC004921.2",-0.011479825684205,0.00097761345482151
"AC004923.4",0.0215282196137726,-0.0234625193267934
"AC004930.1",0.00836366317529992,-0.0176488880286114
"AC004936.1",0.0197165472718844,0.00222630940089291
